lemma[key],partofspeech[key],negation
never,r,1
nothing,r,1
not,r,1
nobody,r,1
nowhere,r,1
neither,r,1
none,r,1
no,r,1
n't,r,1
't,r,1
no,d,1
cannot,v,1
neither,d,1
nor,c,1
