interjection[key],positive,negative,sis,sentiment,replace-during-tokenize[flag]
frick,0,0,0,0,1
fsck,0,0,0,0,1
fuddle-duddle,0,0,0,1,1
fuhgeddaboudit,0,1,0,0,1
full marks,1,0,0,0,1
full stop,0,1,0,0,1
gack,0,0,0,0,1
gad,0,0,0,0,1
gadzooks,0,0,0,0,1
gag me with a spoon,0,0,0,0,1
ga-ga,0,0,0,0,1
gah,0,0,0,0,1
gak,0,0,0,0,1
gall dang,0,0,0,0,1
gangway,0,0,0,0,1
g'day,0,0,0,0,1
gee,0,0,0,0,1
gee up,0,0,0,0,1
gee whiz,0,0,0,0,1
gee whiz mo,0,0,0,0,1
gee willikers,0,0,0,0,1
geez,0,1,0,0,1
geez Louise,0,1,0,0,1
geroff,0,0,0,0,1
geronimo,0,0,0,0,1
gerroff,0,0,0,0,1
gesundheit,0,0,0,0,1
giddap,0,0,0,0,1
giddy up,0,0,0,0,1
giddyap,0,0,0,0,1
giddyup,0,0,0,0,1
g'night,0,0,0,0,1
go figure,0,0,0,0,1
go to the dickens,0,1,0,0,1
god almighty,0,0,0,0,1
god bless you,1,0,0,0,1
god save the king,1,0,0,0,1
god save the queen,1,0,0,0,1
goddidit,0,0,0,0,1
godspeed,0,0,0,0,1
goldarnit,0,0,0,0,1
goldurnit,0,0,0,0,1
golly,0,0,0,0,1
goo goo ga ga,0,0,0,0,1
good going,0,0,0,0,1
good grief,0,0,0,0,1
good heavens,0,1,0,0,1
good lord,0,1,0,0,1
good riddance,0,0,0,0,1
goodie,0,0,0,0,1
goodness me,0,0,0,0,1
goodo,0,0,0,0,1
gorblimey,0,0,0,0,1
gordon bennett,0,0,0,0,1
gosh,0,0,0,0,1
goshdarnit,0,1,0,0,1
gramercy,0,0,0,0,1
gratz,1,0,0,0,1
great scott,0,0,0,0,1
gulp,0,0,0,0,1
gunny,0,0,0,0,1
ha,0,0,0,0,1
ha ha,0,0,0,0,1
hadaway,0,0,0,0,1
hah,0,0,0,0,1
haha,1,0,0,0,1
ha-ha,1,0,0,0,1
hahaha,1,0,0,0,1
hail,0,0,0,0,1
hallelujah,1,0,0,0,1
hallo,0,0,0,0,1
halloa,0,0,0,0,1
hamana-hamana-hamana,0,0,0,0,1
hands off,0,0,0,0,1
hands up,0,0,0,0,1
hang in there,0,0,0,0,1
happy thanksgiving,0,0,0,0,1
har,0,0,0,0,1
harch,0,0,0,0,1
hardy har har,0,0,0,0,1
harrumph,0,0,0,0,1
harumph,0,0,0,0,1
haw,0,0,0,0,1
haway,0,0,0,0,1
heads up,0,0,0,0,1
"hear, hear",0,0,0,0,1
heaven forbid,0,1,0,0,1
heaven forfend,0,0,0,0,1
heck,0,0,0,0,1
hee,0,0,0,0,1
hee-haw,0,0,0,0,1
heh,0,0,0,0,1
hehe,0,0,0,0,1
heigh-ho,0,0,0,0,1
hell no,0,1,0,0,1
hell or high water,0,0,0,0,1
hell yeah,1,0,0,0,1
hella,0,0,0,0,1
hello,0,0,0,0,1
hello there,0,0,0,0,1
hell's bells,0,0,0,0,1
helluv,0,0,0,0,1
hem,0,0,0,0,1
hey,0,0,0,0,1
