poslist[key],profane,profane-when-combined,unsafe,unsafe-when-combined,entity,negation
bald/JJ smoo/NN,1.3,0,0,0,0,0
ball/NN busting/NN,1.2,0,0,0,0,0
ball/NN gag/NN,1.2,0,0,0,0,0
ball/NN in/IN mouth/NN,1.6,0,0,0,0,0
ball/NN juice/NN,1.6,0,0,0,0,0
ball/NN licking/NN,1.8,0,0,0,0,0
ball/NN sucking/NN,1.8,0,0,0,0,0
ban/VB in/IN the/DT usa/NN,0,0,1.3,0,0,0
ban/VB incest/NN,0,0,1.6,0,0,0
bang/NN a/DT girl/NN,1.4,0,0,0,0,0
barely/RB legal/JJ,0,0,1.6,0,0,0
barenaked/JJ,1.1,0,0,0,0,0
bastard/NN,1.4,0,0,0,0,0
bathtime/NN lesbo/NN,1.8,0,0,0,0,0
bathtime/NN lezbo/NN,1.8,0,0,0,0,0
bazoombas/NNS,1.1,0,0,0,0,0
bbw/NN,1.4,0,0,0,0,0
bbw/RB spread/VB,1.7,0,0,0,0,0
bbws/NNS,1.4,0,0,0,0,0
bdsm/NN,0,0,1.7,0,0,0
beads/NNS,0,0.5,0,0,0,0
bear/NN lovin/NN,1.3,0,0,0,0,0
beastiality/NN,0,0,1.3,0,0,0
beat/VB off/RB,1.6,0,0,0,0,0
beat/VB SBJ$ meat/NN,1.6,0,0,0,0,0
beat/VB the/DT shit/NN out/IN of/IN,1.2,0,0,0,0,0
SBJ$ beaver/NN,1.2,0,0,0,0,0
bee-yotch/NN,1.4,0,0,0,0,0
belly/NN whacker/NN,1.4,0,0,0,0,0
beppin/NN,1.1,0,0,0,0,0
bestiality/NN,0,0,1.2,0,0,0
bi/NN girl/NN,0,0,1.2,0,0,0
bianco/NN,1.25,0,0,0,0,0
biatch/NN,1.4,0,0,0,0,0
bichas/NN,1.25,0,0,0,0,0
big/JJ ass/NN,1.7,0,0,0,0,0
big/JJ beautiful/JJ women/NNS,0,0,1.8,0,0,0
big/JJ melons/NNS,1.2,0,0,0,0,0
big/JJ nipple/NN,1.8,0,0,0,0,0
biggest-boobed/JJ,1.8,0,0,0,0,0
bi-girl/NN,0,0,1.6,0,0,0
biguns/NNS,1.2,0,0,0,0,0
bikini/NN,0,0.5,0,0,0,0
bi-otch/NN,1.4,0,0,0,0,0
birching/NN,1.1,0,0,0,0,0
bisexual/JJ,0,0,1.1,0,0,0
bisexual/JJ fetish/JJ,0,0,1.4,0,0,0
bitch/NN,1.1,0,0,0,0,0
bitchslap/NN,1.4,0,0,0,0,0
bitchslap/VB,1.4,0,0,0,0,0
bitty/JJ,0,0.5,0,0,0,0
bizzare/NN,0,0,0,0.5,0,0
black/JJ bastard/NN,1.4,0,0,0,0,0
black/JJ desire/NN,1.2,0,0,0,0,0
black/JJ hardcore/NN,1.8,0,0,0,0,0
black/JJ supremacy/NN,0,0,1.25,0,0,0
bleekscheet/NN,1.25,0,0,0,0,0
blonde/JJ sandwich/NN,1.5,0,0,0,0,0
blow/NN job/NN,1.2,0,0,0,0,0
blow/VB a/DT wad/NN,1.6,0,0,0,0,0
blow/VB SBJ$ biscuit/NN,1.8,0,0,0,0,0
blow/VB SBJ$ biscuits/NNS,1.8,0,0,0,0,0
blow/VB SBJ$ load/NN,1.8,0,0,0,0,0
blow/VB SBJ$ member/NN,1.8,0,0,0,0,0
blowjob/NN,1.2,0,0,0,0,0
blue/JJ ball/NN,1.2,0,0,0,0,0
blue/JJ movie/NN,1.2,0,0,0,0,0
body/NN slapping/NN,1.7,0,0,0,0,0
boff/NN,0.5,0,0,0,0,0
bondage/NN,0,0,1.7,0,0,0
bone/NN smoker/NN,1.5,0,0,0,0,0
bone/NN smoking/NN,1.5,0,0,0,0,0
bone/VB a/DT chick/NN,1.6,0,0,0,0,0
bonehead/NN,1.4,0,0,0,0,0
boner/NN,1.4,0,0,0,0,0
boob/NN,1.1,0,0,0,0,0
boob/NN babe/NN,1.8,0,0,0,0,0
booger/NN,1.4,0,0,0,0,0
booty/NN college/NN,1.3,0,0,0,0,0
bordello/NN,0,0,1.1,0,0,0
boy/NN for/IN boy/NN,1.1,0,0,0,0,0
boy/NN toy/NN live/JJ,1.2,0,0,0,0,0
bra/NN,0,0,0.2,0,0,0
bras/NNS,0,0,0.2,0,0,0
breast/NN,0,0,0.5,0,0,0
brothel/NN,0,0,1.1,0,0,0
brown/JJ eye/NN,0,0.5,0,0,0,0
brown/JJ shower/NN,1.3,0,0,0,0,0
browneye/NN,1.4,0,0,0,0,0
browntown/NN,1.4,0,0,0,0,0
brutal/JJ snuff/NN,0,0,1.7,0,0,0
bugger/NN,1.1,0,0,0,0,0
bugger/VB off/RB,1.1,0,0,0,0,0
buggery/NN,1.1,0,0,0,0,0
build/VB like/IN a/DT brick/NN shithouse/NN,1.2,0,0,0,0,0
bukkake/NN,0,0,1.8,0,0,0
bull/NN shit/NN,1.4,0,0,0,0,0
bulldager/NN,1.4,0,0,0,0,0
bullhell/NN,1.4,0,0,0,0,0
bullshit/NN,1.4,0,0,0,0,0
bum/NN,1.4,0,0,0,0,0
bung/NN hole/NN,1.1,0,0,0,0,0
bunghole/NN,1.1,0,0,0,0,0
bush/NN boogie/NN,1.25,0,0,0,0,0
bust/NN a/DT nut/NN,1.8,0,0,0,0,0
bust/NN on/IN SBJ$ face/NN,1.8,0,0,0,0,0
bustiere/NN,0.5,0,0,0,0,0
busty/NN,1.1,0,0,0,0,0
busty/NN lesbian/NN,1.6,0,0,0,0,0
butch/NN,1.4,0,0,0,0,0
butt/NN,1.8,0,0,0,0,0
butt/NN breath/NN,1.4,0,0,0,0,0
butt/NN fucker/NN,1.4,0,0,0,0,0
butt/NN hair/NN,1.4,0,0,0,0,0
butt/NN necked/VBD,1.6,0,0,0,0,0
butt/NN pirate/NN,1.6,0,0,0,0,0
butt/NN sex/NN,1.8,0,0,0,0,0
buttface/NN,1.4,0,0,0,0,0
buttfuck/NN,1.8,0,0,0,0,0
buttfucker/NN,1.4,0,0,0,0,0
butthead/NN,1.4,0,0,0,0,0
butthole/NN,1.4,0,0,0,0,0
butt-necked/JJ,1.6,0,0,0,0,0
buttock/NN,1.4,0,0,0,0,0
buttpicker/NN,1.4,0,0,0,0,0
buttplug/NN,1.2,0,0,0,0,0
buttsex/NN,1.8,0,0,0,0,0
call/NN girl/NN,0,0,1.1,0,0,0
callgirl/NN,0,0,1.1,0,0,0
cam/NN,0,0,0,0.5,0,0
cam/NN girl/NN,0,0,1.8,0,0,0
camel/NN lip/NN,1.8,0,0,0,0,0
camgirl/NN,0,0,1.8,0,0,0
cam-girl/NN,0,0,1.8,0,0,0
camisole/NN,0.5,0,0,0,0,0
candle/NN in/IN puss/NN,1.3,0,0,0,0,0
candywhore/NN,1.8,0,0,0,0,0
cartoon/NN hardcore/NN,1.8,0,0,0,0,0
cartoon/NN orgy/NN,1.4,0,0,0,0,0
cartoon/NN sex/NN,1.8,0,0,0,0,0
cartoon/NN slut/NN,1.8,0,0,0,0,0
castrate/NN,0,0,0.5,0,0,0
castration/NN,0,0,0.5,0,0,0
casual/JJ encounter/NN,0,0,0,0.5,0,0
casual/JJ sex/NN,0,0,1.2,0,0,0
celeb/NN,0,0,0,0.5,0,0
celeb/NN nude/NN,0,0,1.5,0,0,0
celebrities/NNS nude/NN,0,0,1.8,0,0,0
celebrity/NN nude/NN,0,0,1.8,0,0,0
celebrity/NN sex/NN,0,0,1.8,0,0,0
celebs/NNS nude/NN,0,0,1.8,0,0,0
centerfold/NN,0,0.35,0,0,0,0
cervix/NN,0,0,0.5,0,0,0
chancroid/NN,1.1,0,0,0,0,0
cheesy/NN ass/NN,1.4,0,0,0,0,0
chemise/NN,1.1,0,0,0,0,0
