pattern[key],regexoption[flag],ishashtag,islink
"https?\://[a-zA-Z0-9\-\.]+\.[a-zA-Z]{2,4}(:[a-zA-Z0-9]*)?/?([a-zA-Z0-9\-_\?\'/\\\+&%\$#\=~\.\,\;])*[a-zA-Z0-9\-_\?\'/\\\+&%\$#\=~]",1,0,1
^@[A-Za-z0-9_]+\s+@[A-Za-z0-9_]+,16,0,0
^RT\s+@[A-Za-z0-9_]+,16,0,0
\s+RT\s+@[A-Za-z0-9_]+,16,0,0
^#[A-Za-z0-9_]+,16,1,0
\s+#[A-Za-z0-9_]+,16,1,0
